Survey.event,Plot.location,Treatment.code,PLANT_ID,Tiller.ID,Leaf.ID,Damage,Chew,Scrape,Mechanical,Chlorosis,Col,%Col,#C.Lesions,Rhiz,%Rhiz,#R.Lesions,Rust,%Rust,#P.Lesions ,GLS,%GLS,#G.Lesions ,Epichloe.presence,Survey.Date,Notes,Observer,Recorder
11,A22,EI,1,1,6,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24-Oct-19,NA,"JK, RC","JK, RC"
11,A22,EI,1,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24-Oct-19,NA,"JK, RC","JK, RC"
11,A22,EI,1,1,8,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24-Oct-19,NA,"JK, RC","JK, RC"
11,A22,EI,1,1,4,D,0,1,1,0,0,0,0,0,0,0,1,0.01,1,0,0,0,1,24-Oct-19,NA,"JK, RC","JK, RC"
11,A22,EI,1,1,5,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24-Oct-19,NA,"JK, RC","JK, RC"
12,C43,EI,1,1,6,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
12,C43,EI,1,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
12,C43,EI,1,1,8,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
12,C43,EI,1,1,4,D,0,1,1,0,1,0.25,1,0,0,0,0,0,0,0,0,0,1,28-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
12,C43,EI,1,1,5,D,0,1,0,0,1,0.25,1,0,0,0,1,0.03,3,0,0,0,1,28-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
13,C43,EI,1,1,6,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
13,C43,EI,1,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
13,C43,EI,1,1,8,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
13,C43,EI,1,1,9,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
13,C43,EI,1,1,5,D,0,1,0,0,1,1,1,0,0,0,1,0.05,5,0,0,0,1,31-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
1,C12,EI_CR,2,1,1,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
1,C12,EI_CR,2,1,2,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
1,C12,EI_CR,2,1,3,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
1,C12,EI_CR,2,1,4,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
1,C12,EI_CR,2,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
2,C12,EI_CR,2,1,1,D,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
2,C12,EI_CR,2,1,2,D,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
2,C12,EI_CR,2,1,3,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
2,C12,EI_CR,2,1,4,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
2,C12,EI_CR,2,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,C12,EI_CR,2,1,1,D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,C12,EI_CR,2,1,2,D,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,C12,EI_CR,2,1,3,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,C12,EI_CR,2,1,4,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,C12,EI_CR,2,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,B2,EI_CR,2,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,B2,EI_CR,2,1,2,D,0,0,0,0,1,2,9,1,2,1,0,0,0,0,0,0,0,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,B2,EI_CR,2,1,3,D,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,B2,EI_CR,2,1,4,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,B2,EI_CR,2,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
5,B2,EI_CR,2,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3-Oct-19,NA,"JK, BMN",JK. BMN
5,B2,EI_CR,2,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3-Oct-19,NA,"JK, BMN",JK. BMN
5,B2,EI_CR,2,1,3,D,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,3-Oct-19,NA,"JK, BMN",JK. BMN
5,B2,EI_CR,2,1,4,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3-Oct-19,NA,"JK, BMN",JK. BMN
5,B2,EI_CR,2,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3-Oct-19,NA,"JK, BMN",JK. BMN
6,A17,EI_CR,2,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
6,A17,EI_CR,2,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
6,A17,EI_CR,2,1,3,D,0,0,0,0,1,10,8,0,0,0,0,0,0,0,0,0,0,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
6,A17,EI_CR,2,1,4,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
6,A17,EI_CR,2,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
7,A17,EI_CR,2,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-Oct-19,NA,"JK, RC","JK, RC"
7,A17,EI_CR,2,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-Oct-19,NA,"JK, RC","JK, RC"
7,A17,EI_CR,2,1,3,D,0,0,0,0,1,10,9,0,0,0,1,0.02,2,0,0,0,0,10-Oct-19,NA,"JK, RC","JK, RC"
7,A17,EI_CR,2,1,4,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-Oct-19,NA,"JK, RC","JK, RC"
7,A17,EI_CR,2,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-Oct-19,NA,"JK, RC","JK, RC"
8,C4,EI_CR,2,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14-Oct-19,NA,"JK, BMN, RC","JK, BMN, RC"
8,C4,EI_CR,2,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14-Oct-19,NA,"JK, BMN, RC","JK, BMN, RC"
8,C4,EI_CR,2,1,3,D,0,0,0,0,1,20,1,0,0,0,1,0.01,1,0,0,0,0,14-Oct-19,NA,"JK, BMN, RC","JK, BMN, RC"
8,C4,EI_CR,2,1,4,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14-Oct-19,NA,"JK, BMN, RC","JK, BMN, RC"
8,C4,EI_CR,2,1,5,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14-Oct-19,NA,"JK, BMN, RC","JK, BMN, RC"
9,C4,EI_CR,2,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-Oct-19,NA,"RC, BMN","RC, BMN"
9,C4,EI_CR,2,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-Oct-19,NA,"RC, BMN","RC, BMN"
9,C4,EI_CR,2,1,3,D,0,0,0,0,1,25,1,0,0,0,1,0.01,1,0,0,0,0,17-Oct-19,NA,"RC, BMN","RC, BMN"
9,C4,EI_CR,2,1,4,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-Oct-19,NA,"RC, BMN","RC, BMN"
9,C4,EI_CR,2,1,5,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-Oct-19,NA,"RC, BMN","RC, BMN"
10,C1,EI_CR,2,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
10,C1,EI_CR,2,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
10,C1,EI_CR,2,1,3,D,0,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,21-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
10,C1,EI_CR,2,1,4,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
10,C1,EI_CR,2,1,5,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
11,C1,EI_CR,2,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24-Oct-19,NA,"JK, RC","JK, RC"
11,C1,EI_CR,2,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24-Oct-19,NA,"JK, RC","JK, RC"
11,C1,EI_CR,2,1,3,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24-Oct-19,NA,"JK, RC","JK, RC"
11,C1,EI_CR,2,1,4,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24-Oct-19,NA,"JK, RC","JK, RC"
11,C1,EI_CR,2,1,5,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24-Oct-19,NA,"JK, RC","JK, RC"
12,A1,EI_CR,2,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
12,A1,EI_CR,2,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
12,A1,EI_CR,2,1,8,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
12,A1,EI_CR,2,1,9,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
12,A1,EI_CR,2,1,5,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
13,A1,EI_CR,2,1,6,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
13,A1,EI_CR,2,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
13,A1,EI_CR,2,1,8,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
13,A1,EI_CR,2,1,9,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
13,A1,EI_CR,2,1,5,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-Oct-19,NA,"RC, JK, BMN","RC, JK, BMN"
1,B23,EI,3,1,1,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
1,B23,EI,3,1,2,D,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
1,B23,EI,3,1,3,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
1,B23,EI,3,1,4,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
1,B23,EI,3,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,19-Sep-19,NA,"JK, BMN, RC","JK, BMN, RC"
2,B23,EI,3,1,1,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
2,B23,EI,3,1,2,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
2,B23,EI,3,1,3,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
2,B23,EI,3,1,4,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
2,B23,EI,3,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,23-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,B23,EI,3,1,1,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,B23,EI,3,1,2,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,B23,EI,3,1,3,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,B23,EI,3,1,4,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
3,B23,EI,3,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,26-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,C3,EI,3,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,C3,EI,3,1,2,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,C3,EI,3,1,3,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,C3,EI,3,1,4,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
4,C3,EI,3,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,30-Sep-19,NA,"JK, RC, BMN","JK, RC, BMN"
5,C3,EI,3,1,6,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3-Oct-19,NA,"JK, BMN",JK. BMN
5,C3,EI,3,1,7,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3-Oct-19,NA,"JK, BMN",JK. BMN
5,C3,EI,3,1,3,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3-Oct-19,NA,"JK, BMN",JK. BMN
5,C3,EI,3,1,4,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3-Oct-19,NA,"JK, BMN",JK. BMN
5,C3,EI,3,1,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3-Oct-19,NA,"JK, BMN",JK. BMN
6,B44,EI,3,2,1,D,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,NA,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
6,B44,EI,3,2,2,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
6,B44,EI,3,2,3,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
6,B44,EI,3,2,4,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
6,B44,EI,3,2,5,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7-Oct-19,NA,"JK, RC, BMN","JK, RC, BMN"
7,B44,EI,3,3,1,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10-Oct-19,NA,"JK, RC","JK, RC"
7,B44,EI,3,3,2,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10-Oct-19,NA,"JK, RC","JK, RC"
7,B44,EI,3,3,3,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10-Oct-19,NA,"JK, RC","JK, RC"
7,B44,EI,3,3,4,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10-Oct-19,NA,"JK, RC","JK, RC"
